tab	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	measurement	method_codes	quality	sequence	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
Yiming Zhang	This study		0.4	209.9	28.3	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-20 11:43:56	2.38e-06	1.4699999999999999e-09	8.940000000000001e-09	1.62e-08	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-1	LT-NO:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	1	AX1-1a	u	0	0.0	0.0	-90.0	0	273
Yiming Zhang	This study		0.4	208.6	27.4	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-21 13:09:38	2.27e-06	3.829999999999999e-09	9.02e-09	1.67e-08	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-2	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	2	AX1-1a	u	0	0.0	0.0	-90.0	1	373
Yiming Zhang	This study		0.4	207.1	27.0	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-22 13:26:09	2.25e-06	3.99e-09	7.2499999999999996e-09	1.57e-08	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-3	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	3	AX1-1a	u	0	2.9999999999999997e-05	0.0	-90.0	2	373
Yiming Zhang	This study		0.5	214.1	24.3	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-23 12:07:58	2.08e-06	2.8600000000000005e-09	8.36e-09	1.57e-08	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-4	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4	AX1-1a	u	0	2.9999999999999997e-05	0.0	-90.0	3	473
Yiming Zhang	This study		0.6	213.1	26.2	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-24 13:03:57	2.1e-06	4.7e-09	1.3400000000000001e-08	1.82e-08	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-5	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	5	AX1-1a	u	0	0.0	0.0	-90.0	4	473
Yiming Zhang	This study		0.6	215.5	26.8	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-25 13:30:16	1.99e-06	4.52e-09	1.3e-08	1.75e-08	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-6	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	6	AX1-1a	u	0	0.0	0.0	-90.0	5	573
Yiming Zhang	This study		0.7	216.7	25.5	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-26 12:08:10	1.97e-06	5.1e-09	1.42e-08	1.81e-08	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-7	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	7	AX1-1a	u	0	2.9999999999999997e-05	0.0	-90.0	6	373
Yiming Zhang	This study		0.7	215.6	21.9	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-26 16:04:33	1.9e-06	4.4799999999999994e-09	1.63e-08	1.8700000000000002e-08	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-8	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	8	AX1-1a	u	0	2.9999999999999997e-05	0.0	-90.0	7	573
Yiming Zhang	This study		0.8	214.8	14.1	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-27 13:41:18	1.61e-06	4.589999999999999e-09	1.6100000000000002e-08	1.6799999999999998e-08	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-9	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	9	AX1-1a	u	0	2.9999999999999997e-05	0.0	-90.0	8	673
Yiming Zhang	This study		0.8	212.8	22.4	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-28 13:41:26	1.65e-06	6.890000000000001e-09	1.42e-08	1.67e-08	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-10	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	10	AX1-1a	u	0	0.0	0.0	-90.0	9	673
Yiming Zhang	This study		0.7	210.6	23.4	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-29 12:15:52	1.57e-06	8.61e-09	8.66e-09	1.46e-08	4	273	AX1-1a_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-11	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	11	AX1-1a	u	0	0.0	0.0	-90.0	10	698
