tab	specimens
specimen	experiments	sample	meas_step_max	meas_step_min	meas_step_unit	analysts	software_packages	int_abs	int_corr	int_corr_aniso	int_corr_cooling_rate	int_corr_nlt	int_n_measurements	int_treat_dc_field	int_b_beta	int_f	int_frac	int_fvds	int_g	int_gmax	int_q	int_scat	int_dang	int_mad_free	int_drat	int_drats	int_n_ptrm	citations	method_codes	result_quality	volume	weight
AX1-1a		AX1-1				Yiming Zhang																						This study	LP-NOMAG			
AX1-2a		AX1-2				Yiming Zhang																						This study	LP-NOMAG			
AX1-3a		AX1-3				Yiming Zhang																						This study	LP-NOMAG			
AX1-4a		AX1-4				Yiming Zhang																						This study	LP-NOMAG			
AX1-5a		AX1-5				Yiming Zhang																						This study	LP-NOMAG			
AX1-7a		AX1-7				Yiming Zhang																						This study	LP-NOMAG			
AX10-1a		AX10-1				Yiming Zhang																						This study	LP-NOMAG			
AX10-1a		AX10-1	858	698	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	4.58e-05	u	1.00			17	3.00e-05	0.06	0.79	0.78	0.69	0.91	0.24	11.99	t	2.62	5.60	5.66	18.49	10	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX10-2a		AX10-2				Yiming Zhang																						This study	LP-NOMAG			
AX10-2a		AX10-2	858	698	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	4.82e-05	u	1.00			17	3.00e-05	0.05	0.83	0.67	0.56	0.92	0.19	16.63	t	1.93	5.30	3.69	6.24	10	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX10-3a		AX10-3	858	698	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	4.80e-05	u	1.00			17	3.00e-05	0.04	0.90	0.69	0.62	0.91	0.24	21.01	t	1.56	4.02	3.71	10.37	10	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX10-3a		AX10-3				Yiming Zhang																						This study	LP-NOMAG			
AX11-1a		AX11-1				Yiming Zhang																						This study	LP-NOMAG			
AX11-1a		AX11-1	833	698	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	7.33e-05	u	1.00			10	3.00e-05	0.08	0.65	0.67	0.58	0.84	0.21	6.77	t	2.54	5.28	5.13	19.54	6	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX11-2a		AX11-2				Yiming Zhang																						This study	LP-NOMAG			
AX11-2a		AX11-2	833	673	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	7.33e-05	u	1.00			11	3.00e-05	0.07	0.63	0.65	0.59	0.85	0.21	7.54	t	1.51	3.94	4.56	7.43	6	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX11-3a		AX11-3	833	673	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	7.34e-05	u	1.00			11	3.00e-05	0.08	0.63	0.66	0.60	0.85	0.21	6.75	t	2.11	3.95	5.0	26.34	6	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX11-3a		AX11-3				Yiming Zhang																						This study	LP-NOMAG			
AX11-4a		AX11-4	843	773	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	7.33e-05	u	1.00			11	3.00e-05	0.09	0.76	0.66	0.66	0.85	0.20	7.57	t	3.27	1.53	5.03	26.33	8	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX11-4a		AX11-4				Yiming Zhang																						This study	LP-NOMAG			
AX11-5a		AX11-5	839	673	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	7.34e-05	u	1.00			14	3.00e-05	0.05	0.81	0.73	0.70	0.88	0.18	13.71	t	0.85	2.93	4.42	7.93	8	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX11-5a		AX11-5				Yiming Zhang																						This study	LP-NOMAG			
AX11-6a		AX11-6				Yiming Zhang																						This study	LP-NOMAG			
AX11-6a		AX11-6	835	473	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	7.33e-05	u	1.00			14	3.00e-05	0.07	0.72	0.69	0.66	0.87	0.17	9.02	t	1.33	4.00	5.31	22.79	7	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX11-9a		AX11-9				Yiming Zhang																						This study	LP-NOMAG			
AX11-9a		AX11-9	835	373	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	7.33e-05	u	1.00			15	3.00e-05	0.06	0.67	0.67	0.60	0.89	0.17	9.36	t	1.13	5.34	4.13	13.27	7	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX12-10a		AX12-10				Yiming Zhang																						This study	LP-NOMAG			
AX12-11a		AX12-11				Yiming Zhang																						This study	LP-NOMAG			
AX12-12a		AX12-12				Yiming Zhang																						This study	LP-NOMAG			
AX12-13a		AX12-13				Yiming Zhang																						This study	LP-NOMAG			
AX12-14a		AX12-14				Yiming Zhang																						This study	LP-NOMAG			
AX12-14a		AX12-14	858	748	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	3.03e-05	u	1.00			16	3.00e-05	0.06	1.06	0.75	0.78	0.91	0.17	15.02	t	0.55	1.74		29.83	10	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX12-15a		AX12-15				Yiming Zhang																						This study	LP-NOMAG			
AX12-1a		AX12-1				Yiming Zhang																						This study	LP-NOMAG			
AX12-1a		AX12-1	853	273	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	3.39e-05	u	1.00			21	3.00e-05	0.03	1.00	0.97	0.78	0.91	0.17	27.42	t	4.73	5.47	6.6	29.48	9	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX12-2a		AX12-2	843	698	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	4.69e-05	u	1.00			14	3.00e-05	0.05	0.93	0.70	0.64	0.88	0.24	15.25	t	2.38	3.39	6.44	34.16	8	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX12-2a		AX12-2				Yiming Zhang																						This study	LP-NOMAG			
AX12-4a		AX12-4				Yiming Zhang																						This study	LP-NOMAG			
AX12-4a		AX12-4	858	773	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	4.19e-05	u	1.00			14	3.00e-05	0.05	0.86	0.66	0.60	0.89	0.24	14.16	t	3.19	3.85	5.84	23.84	10	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX12-5a		AX12-5				Yiming Zhang																						This study	LP-NOMAG			
AX12-5a		AX12-5	848.0	573.0	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	4.2e-05	u	1.0			17.0	3e-05	0.06	1.05	0.82	0.69	0.9	0.19	14.61	f	3.09	3.65	7.05	13.83	9.0	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	b		
AX12-6a		AX12-6				Yiming Zhang																						This study	LP-NOMAG			
AX12-6a		AX12-6	837	698	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	3.72e-05	u	1.00			12	3.00e-05	0.08	0.81	0.69	0.61	0.87	0.22	8.79	t	2.05	3.64	11.4	20.46	7	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX12-7a		AX12-7				Yiming Zhang																						This study	LP-NOMAG			
AX12-8a		AX12-8	838	748	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	3.83e-05	u	1.00			12	3.00e-05	0.06	0.97	0.75	0.77	0.87	0.25	13.27	t	2.29	1.46		21.44	8	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX12-8a		AX12-8				Yiming Zhang																						This study	LP-NOMAG			
AX12-9a		AX12-9				Yiming Zhang																						This study	LP-NOMAG			
AX13-2a		AX13-2	828	573	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	7.70e-05	u	1.00			11	3.00e-05	0.05	0.67	0.69	0.56	0.83	0.20	10.69	t	2.73	7.87	7.63	40.41	6	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX13-2a		AX13-2				Yiming Zhang																						This study	LP-NOMAG			
AX13-3a		AX13-3	823	373	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	7.17e-05	u	1.00			12	3.00e-05	0.08	0.67	0.71	0.58	0.80	0.22	6.85	t	1.88	5.92	10.1	22.28	5	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX13-3a		AX13-3				Yiming Zhang																						This study	LP-NOMAG			
AX13-4a		AX13-4	828	473	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	7.54e-05	u	1.00			12	3.00e-05	0.03	0.64	0.70	0.53	0.86	0.17	18.53	t	0.41	7.28	4.24	24.12	6	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX13-4a		AX13-4				Yiming Zhang																						This study	LP-NOMAG			
AX13-6a		AX13-6	828	473	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	7.68e-05	u	1.00			12	3.00e-05	0.06	0.70	0.70	0.62	0.81	0.22	10.24	t	1.53	3.82	6.31	30.95	6	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX13-6a		AX13-6				Yiming Zhang																						This study	LP-NOMAG			
AX13-7a		AX13-7	858.0	748.0	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	7.26e-05	u	1.0			15.0	3e-05	0.03	0.74	0.61	0.53	0.85	0.2	23.0	t	2.09	3.62	8.98	60.44	10.0	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
