tab	specimens
specimen	experiments	sample	meas_step_max	meas_step_min	meas_step_unit	analysts	software_packages	int_abs	int_corr	int_corr_aniso	int_corr_cooling_rate	int_corr_nlt	int_n_measurements	int_treat_dc_field	int_b_beta	int_f	int_frac	int_fvds	int_g	int_gmax	int_q	int_scat	int_dang	int_mad_free	int_drat	int_drats	int_n_ptrm	citations	method_codes	result_quality	volume	weight
AX1-1a		AX1-1				Yiming Zhang																						This study	LP-NOMAG			
AX1-2a		AX1-2				Yiming Zhang																						This study	LP-NOMAG			
AX1-3a		AX1-3				Yiming Zhang																						This study	LP-NOMAG			
AX1-4a		AX1-4				Yiming Zhang																						This study	LP-NOMAG			
AX1-5a		AX1-5				Yiming Zhang																						This study	LP-NOMAG			
AX1-7a		AX1-7				Yiming Zhang																						This study	LP-NOMAG			
AX10-1a		AX10-1				Yiming Zhang																						This study	LP-NOMAG			
AX10-1a		AX10-1	858	748	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	5.22e-05	u	1.00			15	3.00e-05	0.04	0.65	0.70	0.62	0.90	0.27	13.22	t	2.46	6.02	5.66	18.49	10	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX10-2a		AX10-2	848	673	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	5.07e-05	u	1.00			16	3.00e-05	0.05	0.83	0.68	0.57	0.91	0.19	15.16	t	2.61	5.90	3.69	1.71	9	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX10-2a		AX10-2				Yiming Zhang																						This study	LP-NOMAG			
AX10-3a		AX10-3	839	673	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	5.10e-05	u	1.00			14	3.00e-05	0.07	0.59	0.49	0.42	0.91	0.15	7.31	t	3.59	6.20	3.71	0.26	8	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	b		
AX10-3a		AX10-3				Yiming Zhang																						This study	LP-NOMAG			
AX11-1a		AX11-1				Yiming Zhang																						This study	LP-NOMAG			
AX11-1a		AX11-1	858	673	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	6.74e-05	u	1.00			18	3.00e-05	0.04	0.87	0.83	0.76	0.90	0.17	21.53	t	1.66	3.02	5.13	18.51	10	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX11-2a		AX11-2				Yiming Zhang																						This study	LP-NOMAG			
AX11-2a		AX11-2	858	673	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	6.98e-05	u	1.00			18	3.00e-05	0.03	0.82	0.81	0.76	0.90	0.17	21.25	t	2.00	2.40	4.56	8.48	10	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX11-3a		AX11-3				Yiming Zhang																						This study	LP-NOMAG			
AX11-3a		AX11-3	858	673	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	6.89e-05	u	1.00			18	3.00e-05	0.04	0.84	0.83	0.78	0.91	0.17	20.73	t	2.08	2.30	5.0	19.25	10	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX11-4a		AX11-4	858	773	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	7.33e-05	u	1.00			14	3.00e-05	0.07	0.80	0.68	0.69	0.86	0.20	10.55	t	3.20	1.55	5.03	25.77	10	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX11-4a		AX11-4				Yiming Zhang																						This study	LP-NOMAG			
AX11-5a		AX11-5	858	673	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	7.38e-05	u	1.00			18	3.00e-05	0.04	0.88	0.80	0.76	0.90	0.16	21.83	t	0.76	2.35	4.42	6.68	10	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX11-5a		AX11-5				Yiming Zhang																						This study	LP-NOMAG			
AX11-6a		AX11-6				Yiming Zhang																						This study	LP-NOMAG			
AX11-6a		AX11-6	858	673	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	7.02e-05	u	1.00			18	3.00e-05	0.04	0.80	0.74	0.72	0.89	0.16	16.16	t	2.40	2.04	5.31	22.96	10	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX11-9a		AX11-9				Yiming Zhang																						This study	LP-NOMAG			
AX11-9a		AX11-9	858	673	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	6.81e-05	u	1.00			18	3.00e-05	0.04	0.76	0.70	0.65	0.91	0.16	17.73	t	2.22	3.19	4.13	14.34	10	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX12-10a		AX12-10				Yiming Zhang																						This study	LP-NOMAG			
AX12-11a		AX12-11				Yiming Zhang																						This study	LP-NOMAG			
AX12-12a		AX12-12				Yiming Zhang																						This study	LP-NOMAG			
AX12-13a		AX12-13				Yiming Zhang																						This study	LP-NOMAG			
AX12-14a		AX12-14				Yiming Zhang																						This study	LP-NOMAG			
AX12-14a		AX12-14	858	773	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	2.98e-05	u	1.00			15	3.00e-05	0.07	1.05	0.73	0.76	0.91	0.17	14.12	t	0.58	1.79		29.83	10	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX12-15a		AX12-15				Yiming Zhang																						This study	LP-NOMAG			
AX12-1a		AX12-1	858	373	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	3.29e-05	u	1.00			21	3.00e-05	0.03	1.03	0.96	0.79	0.92	0.17	27.48	t	4.54	5.38	6.6	32.25	10	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX12-1a		AX12-1				Yiming Zhang																						This study	LP-NOMAG			
AX12-2a		AX12-2	843	698	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	4.69e-05	u	1.00			14	3.00e-05	0.05	0.93	0.70	0.64	0.88	0.24	15.25	t	2.38	3.39	6.44	34.16	8	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX12-2a		AX12-2				Yiming Zhang																						This study	LP-NOMAG			
AX12-4a		AX12-4				Yiming Zhang																						This study	LP-NOMAG			
AX12-4a		AX12-4	858	793	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	4.10e-05	u	1.00			13	3.00e-05	0.06	0.86	0.62	0.59	0.89	0.26	12.56	t	3.21	2.83	5.84	23.84	10	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX12-5a		AX12-5				Yiming Zhang																						This study	LP-NOMAG			
AX12-5a		AX12-5	848	573	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	4.20e-05	u	1.00			17	3.00e-05	0.06	1.05	0.82	0.69	0.90	0.19	14.61	f	3.09	3.65	7.05	13.83	9	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	b		
AX12-6a		AX12-6				Yiming Zhang																						This study	LP-NOMAG			
AX12-6a		AX12-6	837	698	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	3.72e-05	u	1.00			12	3.00e-05	0.08	0.81	0.69	0.61	0.87	0.22	8.79	t	2.05	3.64	11.4	20.46	7	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX12-7a		AX12-7				Yiming Zhang																						This study	LP-NOMAG			
AX12-8a		AX12-8	835	773	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	3.98e-05	u	1.00			10	3.00e-05	0.07	0.86	0.72	0.68	0.85	0.26	9.71	t	2.62	1.46		17.32	7	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX12-8a		AX12-8				Yiming Zhang																						This study	LP-NOMAG			
AX12-9a		AX12-9				Yiming Zhang																						This study	LP-NOMAG			
AX13-2a		AX13-2	858	793	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	7.23e-05	u	1.00			13	3.00e-05	0.02	0.74	0.63	0.59	0.84	0.22	28.75	t	1.45	4.77	7.63	47.03	10	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX13-2a		AX13-2				Yiming Zhang																						This study	LP-NOMAG			
AX13-3a		AX13-3	858	773	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	6.31e-05	u	1.00			14	3.00e-05	0.01	0.75	0.64	0.60	0.85	0.24	53.77	t	3.45	3.37	10.1	36.67	10	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX13-3a		AX13-3				Yiming Zhang																						This study	LP-NOMAG			
AX13-4a		AX13-4				Yiming Zhang																						This study	LP-NOMAG			
AX13-4a		AX13-4	858	773	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	7.42e-05	u	1.00			14	3.00e-05	0.02	0.70	0.67	0.58	0.86	0.18	32.78	t	0.78	5.18	4.24	34.98	10	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX13-6a		AX13-6	858	793	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	6.64e-05	u	1.00			13	3.00e-05	0.01	0.80	0.66	0.65	0.84	0.24	47.57	t	0.84	2.33	6.31	38.87	10	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX13-6a		AX13-6				Yiming Zhang																						This study	LP-NOMAG			
AX13-7a		AX13-7	858	748	K		pmagpy-4.2.24-1: thellier_gui.pmagpy-4.2.24-1	7.26e-05	u	1.00			15	3.00e-05	0.03	0.74	0.61	0.53	0.85	0.20	23.00	t	2.09	3.62	8.98	60.44	10	This study	LP-PI-TRM:LP-PI-BT-IZZI:LP-PI-ALT-PTRM:IE-TT	g		
AX13-7a		AX13-7				Yiming Zhang																						This study	LP-NOMAG			
