tab	measurements
analysts	citations	description	dir_csd	dir_dec	dir_inc	experiment	instrument_codes	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma	meas_n_orient	meas_temp	measurement	method_codes	quality	sequence	specimen	standard	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp
Yiming Zhang	This study		0.7	124.4	18.7	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-18 16:20:25	1.4099999999999999e-05	4.3099999999999996e-08	9.470000000000001e-08	1.37e-07	4	273	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-1	LT-NO:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	1	BD1-10b	u	0	0.0	0.0	-90.0	0	273
Yiming Zhang	This study		0.6	124.3	18.4	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-19 09:46:00	1.39e-05	5.67e-08	8.25e-08	1.23e-07	4	273	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-2	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	2	BD1-10b	u	0	0.0	0.0	-90.0	1	373
Yiming Zhang	This study		0.6	126.4	17.5	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-19 14:34:50	1.3800000000000002e-05	5.42e-08	6.91e-08	1.1900000000000001e-07	4	273	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-3	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	3	BD1-10b	u	0	2.9999999999999997e-05	0.0	-90.0	2	373
Yiming Zhang	This study		0.6	124.6	16.0	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-20 09:48:53	1.3300000000000001e-05	7.730000000000001e-08	6.64e-08	1.14e-07	4	273	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-4	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	4	BD1-10b	u	0	2.9999999999999997e-05	0.0	-90.0	3	473
Yiming Zhang	This study		0.6	121.3	16.8	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-20 12:57:34	1.3300000000000001e-05	6.5e-08	4.54e-08	1.1599999999999999e-07	4	273	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-5	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	5	BD1-10b	u	0	0.0	0.0	-90.0	4	473
Yiming Zhang	This study		0.6	122.2	17.0	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-20 16:49:34	1.29e-05	9.48e-08	3.18e-08	1.11e-07	4	273	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-6	LT-T-Z:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	6	BD1-10b	u	0	0.0	0.0	-90.0	5	573
Yiming Zhang	This study		0.6	123.3	16.4	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-21 11:21:57	1.29e-05	8.660000000000001e-08	3.85e-08	1.15e-07	4	273	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-7	LT-PTRM-I:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	7	BD1-10b	u	0	2.9999999999999997e-05	0.0	-90.0	6	373
Yiming Zhang	This study		0.5	119.8	15.2	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-21 14:38:05	1.27e-05	6.82e-08	2.0699999999999997e-08	1.08e-07	4	273	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-8	LT-T-I:LP-PI-TRM-ZI:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	8	BD1-10b	u	0	2.9999999999999997e-05	0.0	-90.0	7	573
Yiming Zhang	This study		0.6	120.1	12.5	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-22 11:54:15	1.2e-05	7.57e-08	3.0499999999999995e-08	1.0300000000000001e-07	4	273	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-9	LT-T-I:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	9	BD1-10b	u	0	2.9999999999999997e-05	0.0	-90.0	8	673
Yiming Zhang	This study		0.6	126.1	15.1	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI	hargrave 2019-12-22 14:32:17	1.2e-05	8.4e-08	2.93e-08	1.0199999999999999e-07	4	273	BD1-10b_LP-PI-TRM_LP-PI-ALT-PTRM_LP-PI-BT-IZZI-10	LT-T-Z:LP-PI-TRM-IZ:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-BT-IZZI	g	10	BD1-10b	u	0	0.0	0.0	-90.0	9	673
