Download from IAGA Intensity Database on 09/05/2016 at 02:01:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SELECT * FROM RefIncluded WHERE  (AGE <=1115.0 ) AND ( AGE >= 1050.00 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,IDENT,SLAT ,SLONG,AGE,DAGE ,AgeMtd,P,Country,Continent,IntM,Ndir,INC,DEC,k,a95,Nint,F,DF,DFPc,VDM,GROUP,TYPE,FORM,ROCKMAG ,COMMENTS,LOCATION NAME ,Ref,Changes from IAGA
8304,Q2,48.2,-81.6,1141,1,U-Pb,O,Canada,North America,T+,,,,,,2,8.7,0.6,6,1.5,Plutonic,,Dyke,,Replaced 2987 in PINT03; VADM with inc=60,Abitibi dykes,199,
8305,Q3,48.2,-81.6,1141,1,U-Pb,O,Canada,North America,T+,,,,,,2,5.4,2.5,46,0.9,Plutonic,,Dyke,,Replaced 2987 in PINT03; VADM with inc=60,Abitibi dykes,199,
8306,Q7,48.2,-81.6,1141,1,U-Pb,O,Canada,North America,T+,,,,,,3,4.6,3.5,76,0.8,Plutonic,,Dyke,,Replaced 2987 in PINT03; VADM with inc=60,Abitibi dykes,199,
8307,Q8,48.2,-81.6,1141,1,U-Pb,O,Canada,North America,T+,,,,,,6,9,3.6,40,1.5,Plutonic,,Dyke,,Replaced 2987 in PINT03; VADM with inc=60,Abitibi dykes,199,
8308,T1,48.2,-81.6,1141,1,U-Pb,O,Canada,North America,T+,,,,,,3,5.8,1.4,24,1,Plutonic,,Dyke,,Replaced 2987 in PINT03; VADM with inc=60,Abitibi dykes,199,
8309,T2,48.2,-81.6,1141,1,U-Pb,O,Canada,North America,T+,,,,,,3,9.6,4.9,51,1.6,Plutonic,,Dyke,,Replaced 2987 in PINT03; VADM with inc=60,Abitibi dykes,199,
8310,T3,48.2,-81.6,1141,1,U-Pb,O,Canada,North America,T+,,,,,,8,10.7,3.6,33,1.8,Plutonic,,Dyke,,Replaced 2987 in PINT03; VADM with inc=60,Abitibi dykes,199,
558,Baraga county R18  ,46.68,-88.44,1107.5,2.5,Stratigraphy  ,R ,U.S.A. ,North America ,T+,5,-73.9,104.8,122,7,1,75,0,0,10.8,Plutonic  ,&nbsp; ,Dyke ,PSD  ,"VDMc, directional data taken from Pesonen and Halls 1979 The Paleomagnetism of Keweenawan dikes from Baraga and Marquette counties, northern Michigan ",&nbsp; ,54,updated date based on polarity; updated position based on location map in ref
559,Baraga county R19  ,46.64,-88.48,1107.5,2.5,Stratigraphy  ,R ,U.S.A. ,North America ,T+,5,-78.4,95.8,34,13.4,1,44,0,0,6,Plutonic  ,&nbsp; ,Dyke ,PSD  ,"VDMc, directional data taken from Pesonen and Halls 1979 The Paleomagnetism of Keweenawan dikes from Baraga and Marquette counties, northern Michigan ",&nbsp; ,54,updated date based on polarity; updated position based on location map in ref
560,Clark Island N67,48.37,-88.69,1095,10,Stratigraphy  ,N ,U.S.A. ,North America ,T+,5,46.2,280,65,9.5,1,25,0,0,5,Plutonic  ,&nbsp; ,Dyke ,PSD  ,"VDMc, directional data taken from Pesonen and Halls 1979 The Paleomagnetism of Keweenawan dikes from Baraga and Marquette counties, northern Michigan ",&nbsp; ,54,updated date based on polarity; updated position based on location map in ref
