UID,OLD_DATA,REF,IDENT,SLAT,SLONG,AGE,DAGE,AGEMTD,CONTINENT,REPLOC,INTM,P,NDIR,INC,DEC,K,A95,NINT,B,DB,DB%,DBN (%),VDM/VADM,VDM,VADM,GROUP,TYPE,FORM,ROCKMAG,COMMENTS,LOCATION NAME,QAGE,QSTAT,QTRM,QALT,QMD,QACN,QTECH,QLITH,QMAG,QDIR,QPI
3091,8397,633,KM3,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,N,7,73,75,510,2.7,3,12.06666667,1.817507451,15.06221644,26.57396565,,1.748846297,,Volcanic,Basalt,Lava flow,,"Also in PINT Data 8455; Directional Group D; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3092,8396,633,KMX1,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,N,7,72,75,644,2.4,2,24.25,7.990306627,32.94971805,72.59068583,,3.556355399,,Volcanic,Basalt,Lava flow,,"Also in PINT Data 8455; Directional Group D; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3093,8395,633,KMX2,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,N,8,72,68,446,2.6,2,12.95,2.899137803,22.3871645,46.15581979,,1.89916711,,Volcanic,Basalt,Lava flow,,"Also in PINT Data 8455; Directional Group D; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3094,8394,633,KMX3,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,N,8,74,47,98,5.6,4,30.2,5.353503526,17.72683287,29.28082235,,4.326992957,,Volcanic,Basalt,Lava flow,,"Also in PINT Data 8455; Directional Group D; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3095,8393,633,KMX4,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,N,6,77,37,182,5,2,37.2,1.272792206,3.421484425,6.713558454,,5.162094851,,Volcanic,Basalt,Lava flow,,"Also in PINT Data 8455; Directional Group D; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3096,8414,633,MK0,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,N,10,75,110,353,2.6,2,21.6,0.424264069,1.964185503,3.851181845,,3.060632493,,Volcanic,Basalt,Lava flow,,"Also in PINT Data 8457; Directional Group D; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3097,8413,633,MK1,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,N,9,78,141,152,4.2,2,35.9,8.909545443,24.81767533,51.8023018,,4.933615919,,Volcanic,Basalt,Lava flow,,"Also in PINT Data 8457; Directional Group D; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3098,8406,633,MK12,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,N,8,70,100,108,5.5,1,11.8,,,,,1.773339085,,Volcanic,Basalt,Lava flow,,"Also in PINT Data 8457; Directional Group D; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3099,8405,633,MK13,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,N,2,71,95,466,2.6,2,15.73333333,4.055038019,25.77354673,54.08313403,,2.335439445,,Volcanic,Basalt,Lava flow,,"Also in PINT Data 8457; Directional Group D; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,0,4
3100,8412,633,MK2,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,N,9,75,161,344,2.8,4,10.9,2.591010099,23.77073485,40.01461542,,1.544485841,,Volcanic,Basalt,Lava flow,,"Also in PINT Data 8457; Directional Group D; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3101,8411,633,MK3,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,N,10,72,84,455,2.3,3,10.63333333,1.266227994,11.90810026,20.85757351,,1.559419069,,Volcanic,Basalt,Lava flow,,"Also in PINT Data 8457; Directional Group D; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3102,8410,633,MK4,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,N,8,74,66,316,3.1,2,16.3,0.282842712,1.735231365,3.401997833,,2.335429973,,Volcanic,Basalt,Lava flow,,"Also in PINT Data 8457; Directional Group D; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3103,8409,633,MK5,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,N,10,82,123,94,5,2,16.4,,,,,2.181230466,,Volcanic,Basalt,Lava flow,,"Also in PINT Data 8457; Directional Group D; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3104,8408,633,MK7,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,N,7,77,95,218,4.1,1,21.7,,,,,3.011221996,,Volcanic,Basalt,Lava flow,,"Also in PINT Data 8457; Directional Group D; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3105,8407,633,MK8,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,N,10,79,106,161,3.8,2,20.2,1.946792233,9.637585314,19.060115,,2.750767348,,Volcanic,Basalt,Lava flow,,"Also in PINT Data 8457; Directional Group D; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3106,8415,633,MR1,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,N,9,77,117,512,2.3,4,15.24,3.429723021,22.50474423,37.71492081,,2.114793697,,Volcanic,Basalt,Lava flow,,"Also in PINT Data 8458; Directional Group D; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3107,8420,633,MR11,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,N,9,81,136,676,2,3,21.8,0.916515139,4.204197885,7.287439572,,2.920338465,,Volcanic,Basalt,Lava flow,,"Also in PINT Data 8458; Directional Group D; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3108,8416,633,MR2,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,N,7,78,115,285,3.7,1,20.4,,,,,2.803503197,,Volcanic,Basalt,Lava flow,,"Also in PINT Data 8458; Directional Group D; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3109,8421,633,MR23,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,N,4,77,91,253,5.8,1,14.6,,,,,2.025983463,,Volcanic,Basalt,Lava flow,,"Also in PINT Data 8458; Directional Group D; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,0,4
3110,8417,633,MR6,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,N,7,74,96,390,3.1,3,23.6,2.861817604,12.12634578,21.24927986,,3.381358735,,Volcanic,Basalt,Lava flow,,"Also in PINT Data 8458; Directional Group D; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3111,8418,633,MR7,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,N,10,77,89,306,2.8,2,25.65,3.323401872,12.95673244,25.81433891,,3.559347659,,Volcanic,Basalt,Lava flow,,"Also in PINT Data 8458; Directional Group D; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3112,8419,633,MR9,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,N,7,82,187,441,2.9,3,19.66666667,1.101514109,5.600919201,9.719572407,,2.615703201,,Volcanic,Basalt,Lava flow,,"Also in PINT Data 8458; Directional Group D; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3113,8422,633,ND1,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,N,8,73,100,1412,1.5,1,16.9,,,,,2.449351029,,Volcanic,Basalt,Lava flow,,"Also in PINT Data 8459; Directional Group D; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3114,8429,633,ND10,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,T,7,69,18,281,3.6,2,13.1,,,,,1.993578449,,Volcanic,Basalt,Lava flow,,"Also in PINT Data 8459; Directional Group C; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3115,8430,633,ND11,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,T,6,66,7,444,3.2,3,12.93333333,1.715614564,13.26506106,23.30181731,,2.045564707,,Volcanic,Basalt,Lava flow,,"Also in PINT Data 8459; Directional Group C; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3116,8431,633,ND12,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,T,8,66,14,464,2.6,4,12.02,4.819958506,40.0994884,73.36113751,,1.90110988,,Volcanic,Basalt,Lava flow,,"Also in PINT Data 8459; Directional Group C; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3117,8432,633,ND13,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,T,8,69,10,191,4,1,6.7,,,,,1.019616459,,Volcanic,Basalt,Lava flow,,"Also in PINT Data 8459; Directional Group C; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3118,8433,633,ND14,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,T,10,65,20,94,5.1,4,7.775,3.685444342,47.40121341,91.59761804,,1.245842599,,Volcanic,Basalt,Lava flow,,"Also in PINT Data 8459; Directional Group C; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3119,8434,633,ND25,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,T,6,64,31,54,9.2,3,14.33333333,3.569780572,24.90544585,45.48506479,,2.326955513,,Volcanic,Basalt,Lava flow,,"Also in PINT Data 8459; Directional Group C; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3120,8435,633,ND26,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,T,10,62,38,310,2.7,3,8.4,0.692820323,8.247860988,14.35693261,,1.39985953,,Volcanic,Basalt,Lava flow,,"Also in PINT Data 8459; Directional Group C; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3121,8423,633,ND4,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,N,8,75,72,156,4.4,2,19.05,0.353553391,1.85592331,3.638769178,,2.699307824,,Volcanic,Basalt,Lava flow,,"Also in PINT Data 8459; Directional Group D; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3122,8424,633,ND5,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,N,7,72,54,1110,1.8,3,7.833333333,2.657693235,33.92799875,65.10953184,,1.148788342,,Volcanic,Basalt,Lava flow,,"Also in PINT Data 8459; Directional Group D; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3123,8425,633,ND6,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,T,7,69,14,778,2.2,3,23.53333333,3.397548136,14.43717338,25.43108169,,3.581339402,,Volcanic,Basalt,Lava flow,,"Also in PINT Data 8459; Directional Group C; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3124,8426,633,ND7,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,T,8,72,4,611,2.2,4,8.875,2.140677463,24.12030944,40.65502037,,1.301552749,,Volcanic,Basalt,Lava flow,,"Also in PINT Data 8459; Directional Group C; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3125,8427,633,ND8,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,T,8,69,35,401,2.8,2,18.26666667,2.757414248,15.09533347,30.25583595,,2.779849848,,Volcanic,Basalt,Lava flow,,"Also in PINT Data 8459; Directional Group C; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3126,8428,633,ND9,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,T,8,67,28,389,2.8,1,18.5,,,,,2.888319041,,Volcanic,Basalt,Lava flow,,"Also in PINT Data 8459; Directional Group C; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3127,8452,633,SV1,69.47,88.72,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,T,8,55,152,136,4.9,2,9.8,0.565685425,5.772300255,11.34989274,,1.786136012,,Volcanic,Basalt,Lava flow,,"Directional Group B; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3128,8443,633,SV10,69.47,88.72,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,T,6,53,151,491,3,1,8.6,,,,,1.606220043,,Volcanic,Basalt,Lava flow,,"Directional Group B; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3129,8451,633,SV2,69.47,88.72,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,T,5,58,148,129,6.8,2,6.95,2.333452378,33.57485436,74.34385452,,1.219760843,,Volcanic,Basalt,Lava flow,,"Directional Group B; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3130,8450,633,SV3,69.47,88.72,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,T,7,48,148,122,5.5,2,7.35,2.333452378,31.7476514,69.29178785,,1.45474045,,Volcanic,Basalt,Lava flow,,"Directional Group B; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3131,8449,633,SV4,69.47,88.72,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,T,8,55,153,107,5.4,3,6.2,2.685144316,43.3087793,89.45132112,,1.130004416,,Volcanic,Basalt,Lava flow,,"Directional Group B; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3132,8448,633,SV5,69.47,88.72,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,T,5,54,149,448,3.7,2,7.35,2.192031022,29.82355132,64.19299605,,1.356187221,,Volcanic,Basalt,Lava flow,,"Directional Group B; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3133,8447,633,SV6,69.47,88.72,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,T,7,54,152,116,5.6,3,5.433333333,1.101514109,20.27326582,36.34295181,,1.002532957,,Volcanic,Basalt,Lava flow,,"Directional Group B; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3134,8446,633,SV7,69.47,88.72,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,T,6,56,148,240,4.3,4,14.375,2.658790452,18.49593358,30.6149169,,2.587543476,,Volcanic,Basalt,Lava flow,,"Directional Group B; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3135,8445,633,SV8,69.47,88.72,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,T,6,56,155,128,5.9,4,13.825,3.462537605,25.04547996,42.36170927,,2.488541813,,Volcanic,Basalt,Lava flow,,"Directional Group B; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,0,1,1,0,0,0,0,1,4
3136,8444,633,SV9,69.47,88.72,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,T,4,50,161,147,7.6,3,12.73333333,2.600640947,20.42388178,36.63264596,,2.46384368,,Volcanic,Basalt,Lava flow,,"Directional Group B; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,0,1,1,0,0,0,0,0,3
3137,8436,633,TK4,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,T,8,75,23,230,3.7,2,15.1,4.384062043,29.03352347,62.15866422,,2.139608826,,Volcanic,Basalt,Lava flow,,"Directional Group C; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3138,8437,633,TK5,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,T,8,70,35,90,5.9,2,15,9.333809512,62.22539674,225.3073037,,2.254244599,,Volcanic,Basalt,Lava flow,,"Directional Group C; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3139,8438,633,TK6,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,T,9,75,67,143,4.3,2,10.4,1.555634919,14.95802806,29.96821742,,1.473637867,,Volcanic,Basalt,Lava flow,,"Directional Group C; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3140,8439,633,TK7,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,T,10,77,76,542,2.1,2,9.15,1.060660172,11.59191445,23.01873638,,1.269708814,,Volcanic,Basalt,Lava flow,,"Directional Group C; Site means recalculated in Anwar et al., 2016 (weighted in original paper)",Siberian Traps,1,0,1,1,1,0,0,0,0,1,5
3141,8465,634,Bolshaya Nirunda,62,95,252.184,0.133,GPTS,Asia,Russia,T+,R,,-76,265,,,6,13,3.2,24,37.9755374,,1.822476805,,Plutonic,Dolerite,Intrusion,Near magnetite ,,"Bolshaya Nirunda River basin, Siberian Traps",1,0,0,1,0,0,0,0,0,0,2
3142,8456,634,Hr,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,N,,65.2,88,,,22,21.1,6.8,32,41.39298461,,3.372184994,,Volcanic,Basalt,Lava flow,titanomagnetite,"Group average, same flows as PINT Data 8399-8404","Norilsk region, Siberian Traps",1,0,0,1,0,0,0,0,0,0,2
3143,8462,634,Iv,69.47,88.72,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,R,,-28.8,251.7,,,8,11,1.1,10,14.24773129,,2.585166076,,Volcanic,Basalt,Lava flow,titanomagnetite,"Group average, same flows as PINT Data 8453-8454","Norilsk region, Siberian Traps",1,1,0,1,0,0,0,0,0,0,3
3144,8455,634,Km,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,N,,73.2,63.7,,,25,26.7,8,29,37.78967788,,3.860703441,,Volcanic,Basalt,Lava flow,titanomagnetite,"Group average, same flows as PINT Data 8393-8398","Norilsk region, Siberian Traps",1,0,0,1,0,0,0,0,0,0,2
3145,8457,634,Mk,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,N,,73.9,103.3,,,43,15.9,6.5,40,49.64376432,,2.280698374,,Volcanic,Basalt,Lava flow,titanomagnetite,"Group average, same flows as PINT Data 8405-8414","Norilsk region, Siberian Traps",1,0,0,1,0,0,0,0,0,0,2
3146,8458,634,Mr,70.37,90.07,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,N,,76.8,105.7,,,27,22,7.3,33,41.71558144,3,3.058972821,,Volcanic,Basalt,Lava flow,titanomagnetite,"Group average, same flows as PINT Data 8415-8421","Norilsk region, Siberian Traps",1,0,0,1,0,0,0,0,0,0,2
3147,8459,634,Nd,69.47,88.72,252.184,0.133,U-Pb; Estimated,Asia,Russia,T+,N,,75.3,66.5,,,12,19,7.9,41,59.58250814,,2.683485622,,Volcanic,Basalt,Lava flow,titanomagnetite,"Group average, same flows as PINT Data 8422-8435","Norilsk region, Siberian Traps",1,0,0,1,0,0,0,0,0,0,2
3826,9376,691,Flow 18,71.33,102.5,252.184,0.133,U-Pb,Asia,Russia,W;T+,R,10,-73.4,256.4,69.8,5.3,24,17.2,5.4,31,39.86678733,,2.48130639,,Volcanic,Basalt,Lava flow,near magnetite,,"Kotui Sequence, Truba Ravine, Siberian Traps",1,0,1,1,0,0,1,0,0,1,5
3827,9377,691,Flow 19,71.33,102.5,252.184,0.133,U-Pb,Asia,Russia,W;T+,R,8,-71.5,283.6,61.7,6.3,11,10.1,3.2,31,44.72229661,,1.490141397,,Volcanic,Basalt,Lava flow,near magnetite,,"Kotui Sequence, Truba Ravine, Siberian Traps",1,0,1,0,0,0,1,0,0,1,4
3828,9378,691,Flow 20,71.33,102.5,252.184,0.133,U-Pb,Asia,Russia,T+,R,9,-74.8,263.7,39.8,7.4,14,11.6,3.8,33,44.6867512,,1.647273762,,Volcanic,Basalt,Lava flow,near magnetite,,"Kotui Sequence, Truba Ravine, Siberian Traps",1,0,1,1,0,0,0,0,0,0,3
3829,9379,691,Flow 21,71.33,102.5,252.184,0.133,U-Pb,Asia,Russia,W;T+,R,10,-79.1,313.4,85.1,4.8,7,19,7.5,39,62.3332955,,2.585076706,,Volcanic,Basalt,Lava flow,near magnetite,,"Kotui Sequence, Truba Ravine, Siberian Traps",1,0,1,1,0,0,1,0,0,1,5
3830,9380,691,Flow 22,71.33,102.5,252.184,0.133,U-Pb,Asia,Russia,W;T+,R,11,-79.3,300.2,88,4.5,17,11.2,6.3,56,79.76965713,,1.521179749,,Volcanic,Basalt,Lava flow,near magnetite,,"Kotui Sequence, Truba Ravine, Siberian Traps",1,0,1,1,0,0,1,0,0,1,5
3831,9381,691,Flow 23,71.33,102.5,252.184,0.133,U-Pb,Asia,Russia,W;T+,R,10,-77.2,312.5,191.4,3.2,12,23.8,12.3,52,76.86057032,,3.296089828,,Volcanic,Basalt,Lava flow,near magnetite,,"Kotui Sequence, Truba Ravine, Siberian Traps",1,0,1,0,0,0,1,0,0,1,4
3832,9382,691,Flow 24,71.33,102.5,252.184,0.133,U-Pb,Asia,Russia,W;T+,R,10,-72.4,283.9,92.6,4.6,12,17.3,5.2,30,41.68287252,,2.525060616,,Volcanic,Basalt,Lava flow,near magnetite,,"Kotui Sequence, Truba Ravine, Siberian Traps",1,0,1,1,0,0,1,0,0,1,5
3833,9383,691,Flow 25,71.33,102.5,252.184,0.133,U-Pb,Asia,Russia,W;T+,R,8,-76,306.2,98,5,11,17.2,7.6,44,64.90185143,,2.411277004,,Volcanic,Basalt,Lava flow,near magnetite,,"Kotui Sequence, Truba Ravine, Siberian Traps",1,0,1,1,0,0,1,0,0,1,5
3834,9384,691,Flow 26,71.33,102.5,252.184,0.133,U-Pb,Asia,Russia,W;T+,R,8,-71.8,298.5,106.3,4.8,8,15.4,5,32,48.55976788,,2.263891342,,Volcanic,Basalt,Lava flow,near magnetite,,"Kotui Sequence, Truba Ravine, Siberian Traps",1,0,1,1,0,0,1,0,0,1,5
3835,9385,691,Flow 27,71.33,102.5,252.184,0.133,U-Pb,Asia,Russia,W;T+,R,9,-68.1,292.9,77.5,5.3,9,13.5,10.8,80,151.8977282,,2.078100858,,Volcanic,Basalt,Lava flow,near magnetite,,"Kotui Sequence, Truba Ravine, Siberian Traps",1,0,1,0,0,0,1,0,0,1,4
3836,9388,691,Flow 30,71.33,102.5,252.184,0.133,U-Pb,Asia,Russia,W;T+,R,10,-73.3,322.3,46,6.5,14,15.1,8.1,54,78.04844783,,2.180869923,,Volcanic,Basalt,Lava flow,near magnetite,,"Kotui Sequence, Truba Ravine, Siberian Traps",1,0,1,1,0,0,1,0,0,0,4
3837,9389,691,Flow 31,71.33,102.5,252.184,0.133,U-Pb,Asia,Russia,W;T+,R,10,-68.4,321.6,65,5.5,10,24.7,7.6,31,44.00653805,,3.787624406,,Volcanic,Basalt,Lava flow,near magnetite,,"Kotui Sequence, Truba Ravine, Siberian Traps",1,0,1,1,0,0,1,0,0,1,5
3838,9390,691,Flow 34,71.33,102.5,252.184,0.133,U-Pb,Asia,Russia,W;T+,R,10,-69.8,295.2,340,2.4,8,18.6,9.1,49,78.42339213,,2.802247429,,Volcanic,Basalt,Lava flow,near magnetite,,"Kotui Sequence, Truba Ravine, Siberian Traps",1,0,1,1,0,0,1,0,0,1,5
3839,9391,691,Flow 35,71.33,102.5,252.184,0.133,U-Pb,Asia,Russia,W;T+,R,10,-70.9,308.9,34,7.6,7,17.1,5.1,30,45.36658465,,2.541415194,,Volcanic,Basalt,Lava flow,near magnetite,,"Kotui Sequence, Truba Ravine, Siberian Traps",1,0,1,1,0,0,1,0,0,0,4
3840,9392,691,Flow 36,71.33,102.5,252.184,0.133,U-Pb,Asia,Russia,W;T+,R,10,-68.6,295.7,78,5,6,7.8,0.9,11,17.30465961,,1.193051427,,Volcanic,Basalt,Lava flow,near magnetite,,"Kotui Sequence, Truba Ravine, Siberian Traps",1,1,1,1,1,0,1,0,0,1,7
3841,9393,691,Flow 38,71.33,102.5,252.184,0.133,U-Pb,Asia,Russia,W;T+,R,11,-69.6,311.1,77,4.8,4,9.6,1.7,17,29.24883313,,1.449946583,,Volcanic,Basalt,Lava flow,near magnetite,,"Kotui Sequence, Truba Ravine, Siberian Traps",1,0,1,1,1,0,1,0,0,1,6
3842,9394,691,Flow 39,71.33,102.5,252.184,0.133,U-Pb,Asia,Russia,W;T+,R,8,-70.2,306.7,84,5.4,6,17,7,41,67.94037576,,2.548464303,,Volcanic,Basalt,Lava flow,near magnetite,,"Kotui Sequence, Truba Ravine, Siberian Traps",1,0,1,1,0,0,1,0,0,1,5
3843,9395,691,Flow 40,71.33,102.5,252.184,0.133,U-Pb,Asia,Russia,W;T+,R,10,-68.6,296.8,117,4.1,10,21.3,3.1,15,20.1442238,,3.257948127,,Volcanic,Basalt,Lava flow,near magnetite,,"Kotui Sequence, Truba Ravine, Siberian Traps",1,1,1,1,1,0,1,0,0,1,7
3844,9396,691,Flow 41,71.33,102.5,252.184,0.133,U-Pb,Asia,Russia,W;T+,R,9,-51.3,244.6,46,6.9,2,26.1,2.7,10.34482759,20.48715044,,4.974411605,,Volcanic,Basalt,Lava flow,near magnetite,,"Kotui Sequence, Truba Ravine, Siberian Traps",1,0,1,1,1,0,1,0,0,0,5
